ID,Name,Age,Gender,Salary,Target
14,Bisi,22.0,Male,160435.0,0
40,Loveth,54.0,Female,109946.0,1
31,Peter,28.0,Female,104651.0,0
46,Yusuf,33.0,Male,128236.0,1
18,Samuel,38.0,Male,60916.0,0
49,Afolabi,21.0,Female,69325.0,0
27,Adaobi,40.0,Female,145162.0,1
26,Uche,23.0,Male,100043.0,0
33,Joseph,,Male,97493.0,0
20,David,49.0,Male,135638.0,1
13,Taiwo,42.0,Female,520000.0,1
5,Emeka,,Male,64561.0,0
38,Michael,44.0,Female,162696.0,1
9,Adebayo,20.0,Female,81853.0,0
4,Ngozi,57.0,Male,150604.0,1
7,Ifeanyi,55.0,Female,92124.0,0
42,Ebere,30.0,Male,158940.0,0
47,Esther,43.0,Male,,1
48,Temitope,58.0,Female,124975.0,1
16,Musa,,Male,134800.0,1
10,Fatima,41.0,Male,112842.0,1
17,Hadiza,24.0,Male,52012.0,0
25,Ibrahim,60.0,Female,97570.0,0
35,Segun,23.0,Male,68743.0,0
32,Victoria,57.0,Female,152311.0,1
1,Amina,60.0,Male,69184.0,0
45,Mariam,60.0,Male,173080.0,1
28,Sani,24.0,Female,95307.0,0
34,Grace,52.0,Male,169372.0,1
6,Blessing,34.0,Male,172475.0,1
30,John,49.0,Female,77452.0,0
12,Kehinde,25.0,Male,139595.0,0
37,Aisha,58.0,Female,56653.0,0
2,Chinedu,37.0,Male,104196.0,1
22,Maryam,37.0,Male,58717.0,0
3,Tunde,28.0,Male,450000.0,0
44,Suleiman,52.0,Female,67894.0,0
36,Zainab,60.0,Female,81938.0,0
24,Abiola,49.0,Female,139471.0,1
41,Kingsley,27.0,Female,,0
11,Yusuf,33.0,Male,128236.0,1
23,Oluwaseun,54.0,Male,104175.0,1
19,Mercy,26.0,Female,139647.0,0
50,Kelechi,39.0,Male,102770.0,1
21,Esther,43.0,Male,,1
8,Chioma,34.0,Female,,1
43,Ogechi,36.0,Male,171225.0,1
15,Funke,44.0,Female,60656.0,0
29,Ruth,33.0,Female,170870.0,1
39,Daniel,55.0,Male,43009.0,0
